# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookups,1777361087613000000,1777361103672000000,1
Indexes.stubs.lookupDurationMaxMs,1777361087613000000,1777361103672000000,0.0
Indexing.cache.totalCacheEvicted,1777361087613000000,1777361103672000000,0
Indexing.writesQueuedMin,1777361087613000000,1777361103672000000,9223372036854775807
Indexing.writer_2.totalTimeSpentWritingMs,1777361087613000000,1777361103672000000,0
Indexes.entries.lookupDuration90PMs,1777361087613000000,1777361103672000000,0.0
Indexing.cache.totalCacheAccesses,1777361087613000000,1777361103672000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1777361087613000000,1777361103672000000,0
Indexes.allKeys.lookupDurationMaxMs,1777361087613000000,1777361103672000000,0.0
Indexes.stubs.lookupDurationAvgMs,1777361087613000000,1777361103672000000,0.0
Indexes.entries.lookupDurationAvgMs,1777361087613000000,1777361103672000000,0.0
Indexes.stubs.lookupDuration90PMs,1777361087613000000,1777361103672000000,0.0
Indexes.allKeys.lookups,1777361087613000000,1777361103672000000,0
Indexing.writer_5.totalTimeSpentWritingMs,1777361087613000000,1777361103672000000,0
Indexing.writer_4.totalTimeSpentWritingMs,1777361087613000000,1777361103672000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1777361087613000000,1777361103672000000,0
Indexing.totalTimeIndexersSleptMs,1777361087613000000,1777361103672000000,0
Indexing.writesQueuedMax,1777361087613000000,1777361103672000000,0
Indexes.stubs.lookups,1777361087613000000,1777361103672000000,0
Indexes.entries.lookupDurationMaxMs,1777361087613000000,1777361103672000000,0.0
Indexes.allKeys.lookupDuration90PMs,1777361087613000000,1777361103672000000,0.0
Indexing.cache.totalCacheMisses,1777361087613000000,1777361103672000000,0
Indexes.allKeys.lookupDurationAvgMs,1777361087613000000,1777361103672000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1777361087613000000,1777361103672000000,0
jps.app.storage.content.writer.save.component.ms,1777361087613000000,1777361103672000000,30
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777361087613000000,1777361103672000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777361087613000000,1777361103672000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1777361087613000000,1777361103672000000,0
workspaceModel.global.updates.count,1777361087613000000,1777361103672000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777361087613000000,1777361103672000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1777361087613000000,1777361103672000000,0
jps.library.entities.serializer.save.entities.ms,1777361087613000000,1777361103672000000,0
jps.save.global.entities.ms,1777361087613000000,1777361103672000000,45
workspaceModel.moduleManagerBridge.newModule.ms,1777361087613000000,1777361103672000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1777361087613000000,1777361103672000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1777361087613000000,1777361103672000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1777361087613000000,1777361103672000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777361087613000000,1777361103672000000,0
jps.global.handle.before.change.events.ms,1777361087613000000,1777361103672000000,0
jps.global.handle.changed.events.ms,1777361087613000000,1777361103672000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1777361087613000000,1777361103672000000,0
jps.global.get.library.ms,1777361087613000000,1777361103672000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1777361087613000000,1777361103672000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1777361087613000000,1777361103672000000,7
workspaceModel.global.apply.state.to.project.builder.ms,1777361087613000000,1777361103672000000,0
workspaceModel.mutableEntityStorage.instances.count,1777361087613000000,1777361103672000000,5
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777361087613000000,1777361103672000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777361087613000000,1777361103672000000,0
workspaceModel.global.apply.state.to.project.ms,1777361087613000000,1777361103672000000,0
jps.global.initialize.library.bridges.ms,1777361087613000000,1777361103672000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777361087613000000,1777361103672000000,0
jps.global.get.library.by.name.ms,1777361087613000000,1777361103672000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1777361087613000000,1777361103672000000,1
workspaceModel.mutableEntityStorage.hasReferrers.ms,1777361087613000000,1777361103672000000,0
jps.global.initialize.library.bridges.after.loading.ms,1777361087613000000,1777361103672000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1777361087613000000,1777361103672000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777361087613000000,1777361103672000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777361087613000000,1777361103672000000,0
workspaceModel.global.updates.ms,1777361087613000000,1777361103672000000,10
workspaceModel.load.cache.from.file.ms,1777361087613000000,1777361103672000000,1
workspaceModel.mutableEntityStorage.entities.ms,1777361087613000000,1777361103672000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777361087613000000,1777361103672000000,0
workspaceModel.save.cache.to.file.ms,1777361087613000000,1777361103672000000,44
workspaceModel.mutableEntityStorage.put.entity.ms,1777361087613000000,1777361103672000000,4
jps.app.storage.content.reader.load.component.ms,1777361087613000000,1777361103672000000,0
jps.library.entities.serializer.load.entities.ms,1777361087613000000,1777361103672000000,0
workspaceModel.sync.entities.ms,1777361087613000000,1777361103672000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1777361087613000000,1777361103672000000,0
