# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.load.cache.metadata.from.file.ms,1777361550990000000,1777361566798000000,3
jps.library.entities.serializer.load.entities.ms,1777361550990000000,1777361566798000000,0
jps.global.initialize.library.bridges.ms,1777361550990000000,1777361566798000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777361550990000000,1777361566798000000,0
jps.app.storage.content.writer.save.component.ms,1777361550990000000,1777361566798000000,35
jps.global.get.library.by.name.ms,1777361550990000000,1777361566798000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1777361550990000000,1777361566798000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777361550990000000,1777361566798000000,4
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777361550990000000,1777361566798000000,0
cacheStateStorage.set.counter,1777361550990000000,1777361566798000000,8
cacheStateStorage.get.counter,1777361550990000000,1777361566798000000,10
cacheStateStorage.set.duration,1777361550990000000,1777361566798000000,11
cacheStateStorage.get.duration,1777361550990000000,1777361566798000000,0
Indexes.allKeys.lookupDurationMaxMs,1777361550990000000,1777361566798000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1777361550990000000,1777361566798000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1777361550990000000,1777361566798000000,0
Indexes.allKeys.lookupDurationAvgMs,1777361550990000000,1777361566798000000,0.0
Indexes.stubs.lookupDurationAvgMs,1777361550990000000,1777361566798000000,0.0
Indexes.stubs.lookups,1777361550990000000,1777361566798000000,0
Indexes.allKeys.lookupDuration90PMs,1777361550990000000,1777361566798000000,0.0
Indexes.allKeys.lookups,1777361550990000000,1777361566798000000,0
Indexing.writer_5.totalTimeSpentWritingMs,1777361550990000000,1777361566798000000,0
Indexes.entries.lookupDuration90PMs,1777361550990000000,1777361566798000000,3.0
Indexing.writer_0.totalTimeSpentWritingMs,1777361550990000000,1777361566798000000,0
Indexes.entries.lookupDurationMaxMs,1777361550990000000,1777361566798000000,3.0
Indexing.writer_4.totalTimeSpentWritingMs,1777361550990000000,1777361566798000000,0
Indexes.stubs.lookupDurationMaxMs,1777361550990000000,1777361566798000000,0.0
Indexes.entries.lookupDurationAvgMs,1777361550990000000,1777361566798000000,3.0
Indexing.cache.totalCacheEvicted,1777361550990000000,1777361566798000000,0
Indexing.writesQueuedAvg,1777361550990000000,1777361566798000000,0.0
Indexing.totalTimeIndexersSleptMs,1777361550990000000,1777361566798000000,0
Indexing.writesQueuedMin,1777361550990000000,1777361566798000000,0
Indexing.writesQueuedMax,1777361550990000000,1777361566798000000,0
Indexes.entries.lookups,1777361550990000000,1777361566798000000,1
Indexing.cache.totalCacheAccesses,1777361550990000000,1777361566798000000,0
Indexing.cache.totalCacheMisses,1777361550990000000,1777361566798000000,0
Indexes.stubs.lookupDuration90PMs,1777361550990000000,1777361566798000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1777361550990000000,1777361566798000000,0
NonBlockingReadAction.failedExecutionsCount,1777361550990000000,1777361566798000000,0
NonBlockingReadAction.finalizedExecutionsCount,1777361550990000000,1777361566798000000,13
NonBlockingReadAction.finalizedExecutionTimeUs,1777361550990000000,1777361566798000000,163948
AWTEventQueue.dispatchTimeTotalNS,1777361550990000000,1777361566798000000,2054287660
NonBlockingReadAction.failedExecutionTimeUs,1777361550990000000,1777361566798000000,0
workspaceModel.cachedValue.calculated.count,1777361550990000000,1777361566798000000,2
workspaceModel.update.unloaded.entities.ms,1777361550990000000,1777361566798000000,0
workspaceModel.cachedValueWithParameters.clear.count,1777361550990000000,1777361566798000000,0
workspaceModel.cachedValue.total.get.count,1777361550990000000,1777361566798000000,18
workspaceModel.updates.count,1777361550990000000,1777361566798000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1777361550990000000,1777361566798000000,5
workspaceModel.cachedValueWithParameters.from.cache.count,1777361550990000000,1777361566798000000,0
workspaceModel.on.before.changed.ms,1777361550990000000,1777361566798000000,0
workspaceModel.updates.precise.ms,1777361550990000000,1777361566798000000,0
workspaceModel.pre.handlers.ms,1777361550990000000,1777361566798000000,0
workspaceModel.replace.project.model.ms,1777361550990000000,1777361566798000000,0
workspaceModel.initializing.ms,1777361550990000000,1777361566798000000,0
workspaceModel.loading.total.ms,1777361550990000000,1777361566798000000,28
workspaceModel.cachedValueWithParameters.calculated.count,1777361550990000000,1777361566798000000,0
workspaceModel.updates.ms,1777361550990000000,1777361566798000000,0
workspaceModel.loading.from.cache.ms,1777361550990000000,1777361566798000000,24
workspaceModel.cachedValue.from.cache.count,1777361550990000000,1777361566798000000,16
workspaceModel.full.replace.project.model.ms,1777361550990000000,1777361566798000000,0
workspaceModel.on.changed.ms,1777361550990000000,1777361566798000000,0
workspaceModel.init.bridges.ms,1777361550990000000,1777361566798000000,0
workspaceModel.collect.changes.ms,1777361550990000000,1777361566798000000,0
workspaceModel.check.recursive.update.ms,1777361550990000000,1777361566798000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1777361550990000000,1777361566798000000,0
workspaceModel.to.snapshot.ms,1777361550990000000,1777361566798000000,0
workspaceModel.cachedValue.clear.count,1777361550990000000,1777361566798000000,0
